Narration,LabelClassified
TRANSFERDDR- 11200001742022000097046EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675613 Bulk 202-9442023-1-104 - AE0092563,Unclassified
TRANSFERDDR- 11200001742022000097046EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675613 Bulk 202-9442023-1-104 - AE0092563,Unclassified
TRANSFERDDR- 11200001712022000097047EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675612 Bulk 202-9442101-1-104 - AE0092638,Unclassified
TRANSFERDDR- 11200001712022000097047EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675612 Bulk 202-9442101-1-104 - AE0092638,Unclassified
TRANSFERDDR- 11200001782022000097051EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675615 Bulk 202-9442051-1-104 - AE0092602,Unclassified
TRANSFERDDR- 11200001712022000097050EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675614 Bulk 202-9442006-1-104 - AE0092470,Unclassified
TRANSFERDDR- 11200001712022000097050EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675614 Bulk 202-9442006-1-104 - AE0092470,Unclassified
TRANSFERDDR- 11200001712022000097050EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675614 Bulk 202-9442006-1-104 - AE0092470,Unclassified
SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 130437015 134926238 - S38917312,Card Credits
TRANSFERDDR- 11200001712022000097050EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675614 Bulk 202-9442006-1-104 - AE0092470,Unclassified
TRANSFERDDR- 11200001742022000097046EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675613 Bulk 202-9442023-1-104 - AE0092563,Unclassified
TRANSFERDDR- 11200001782022000097051EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675615 Bulk 202-9442051-1-104 - AE0092602,Unclassified
TRANSFERDDR- 11200001742022000097046EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675613 Bulk 202-9442023-1-104 - AE0092563,Unclassified
TRANSFERDDR- 11200001782022000097051EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675615 Bulk 202-9442051-1-104 - AE0092602,Unclassified
TRANSFERDDR- 11200001772022000097045EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675610 Bulk 202-9441952-1-104 - AE0092412,Unclassified
TRANSFERDDR- 11200001772022000097045EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675610 Bulk 202-9441952-1-104 - AE0092412,Unclassified
TRANSFERDDR- 11200001742022000097046EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675613 Bulk 202-9442023-1-104 - AE0092563,Unclassified
SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 860024026 134930811 - S38906975,Card Credits
TRANSFERDDR- 11200001712022000097050EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675614 Bulk 202-9442006-1-104 - AE0092470,Unclassified
SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 130437015 134926238 - S38917312,Card Credits
SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 130437015 134926238 - S38917312,Card Credits
SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 130437015 134926238 - S38917312,Card Credits
TRANSFERDDR- 11200001772022000097045EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675610 Bulk 202-9441952-1-104 - AE0092412,Unclassified
TRANSFERDDR- 11200001712022000097050EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675614 Bulk 202-9442006-1-104 - AE0092470,Unclassified
TRANSFERDDR- 11200001772022000097045EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675610 Bulk 202-9441952-1-104 - AE0092412,Unclassified
TRANSFERDDR- 11200001742022000097046EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675613 Bulk 202-9442023-1-104 - AE0092563,Unclassified
TRANSFERDDR- 11200001772022000097045EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675610 Bulk 202-9441952-1-104 - AE0092412,Unclassified
TRANSFERDDR- 11200001712022000097050EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675614 Bulk 202-9442006-1-104 - AE0092470,Unclassified
SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 130437015 134926238 - S38917312,Card Credits
SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 860024026 134930811 - S38906975,Card Credits
TRANSFERDDR- 11200001712022000097047EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675612 Bulk 202-9442101-1-104 - AE0092638,Unclassified
SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 860024026 134930811 - S38906975,Card Credits
SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 860024026 134930811 - S38906975,Card Credits
TRANSFERDDR- 11200001772022000097045EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675610 Bulk 202-9441952-1-104 - AE0092412,Unclassified
TRANSFERDDR- 11200001772022000097045EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675610 Bulk 202-9441952-1-104 - AE0092412,Unclassified
SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 860024026 134930811 - S38906975,Card Credits
TRANSFERDDR- 11200001712022000097047EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675612 Bulk 202-9442101-1-104 - AE0092638,Unclassified
TRANSFERDDR- 11200001712022000097047EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675612 Bulk 202-9442101-1-104 - AE0092638,Unclassified
TRANSFERDDR- 11200001782022000097051EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675615 Bulk 202-9442051-1-104 - AE0092602,Unclassified
TRANSFERDDR- 11200001712022000097047EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675612 Bulk 202-9442101-1-104 - AE0092638,Unclassified
SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 130437015 134926238 - S38917312,Card Credits
SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 130437015 134926238 - S38917312,Card Credits
TRANSFERDDR- 11200001712022000097050EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675614 Bulk 202-9442006-1-104 - AE0092470,Unclassified
TRANSFERDDR- 11200001782022000097051EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675615 Bulk 202-9442051-1-104 - AE0092602,Unclassified
TRANSFERDDR- 11200001712022000097047EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675612 Bulk 202-9442101-1-104 - AE0092638,Unclassified
TRANSFERDDR- 11200001742022000097046EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675613 Bulk 202-9442023-1-104 - AE0092563,Unclassified
TRANSFERDDR- 11200001782022000097051EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675615 Bulk 202-9442051-1-104 - AE0092602,Unclassified
SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 860024026 134930811 - S38906975,Card Credits
SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 860024026 134930811 - S38906975,Card Credits
TRANSFERDDR- 11200001772022000097045EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675610 Bulk 202-9441952-1-104 - AE0092412,Unclassified
TRANSFERDDR- 11200001742022000097046EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675613 Bulk 202-9442023-1-104 - AE0092563,Unclassified
TRANSFERDDR- 11200001712022000097050EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675614 Bulk 202-9442006-1-104 - AE0092470,Unclassified
TRANSFERDDR- 11200001782022000097051EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675615 Bulk 202-9442051-1-104 - AE0092602,Unclassified
TRANSFERDDR- 11200001712022000097047EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675612 Bulk 202-9442101-1-104 - AE0092638,Unclassified
TRANSFERDDR- 11200001742022000097046EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675613 Bulk 202-9442023-1-104 - AE0092563,Unclassified
TRANSFERDDR- 11200001782022000097051EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675615 Bulk 202-9442051-1-104 - AE0092602,Unclassified
TRANSFERDDR- 11200001712022000097047EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675612 Bulk 202-9442101-1-104 - AE0092638,Unclassified
TRANSFERDDR- 11200001712022000097050EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675614 Bulk 202-9442006-1-104 - AE0092470,Unclassified
TRANSFERDDR- 11200001782022000097051EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675615 Bulk 202-9442051-1-104 - AE0092602,Unclassified
TRANSFERDDR- 11200001742022000097046EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675613 Bulk 202-9442023-1-104 - AE0092563,Unclassified
TRANSFERDDR- 11200001772022000097045EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675610 Bulk 202-9441952-1-104 - AE0092412,Unclassified
TRANSFERDDR- 11200001712022000097050EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675614 Bulk 202-9442006-1-104 - AE0092470,Unclassified
TRANSFERDDR- 11200001782022000097051EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675615 Bulk 202-9442051-1-104 - AE0092602,Unclassified
TRANSFERDDR- 11200001772022000097045EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675610 Bulk 202-9441952-1-104 - AE0092412,Unclassified
TRANSFERDDR- 11200001742022000097046EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675613 Bulk 202-9442023-1-104 - AE0092563,Unclassified
TRANSFERDDR- 11200001712022000097050EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675614 Bulk 202-9442006-1-104 - AE0092470,Unclassified
TRANSFERDDR- 11200001772022000097045EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675610 Bulk 202-9441952-1-104 - AE0092412,Unclassified
TRANSFERDDR- 11200001742022000097046EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675613 Bulk 202-9442023-1-104 - AE0092563,Unclassified
TRANSFERDDR- 11200001742022000097046EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675613 Bulk 202-9442023-1-104 - AE0092563,Unclassified
TRANSFERDDR- 11200001712022000097050EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675614 Bulk 202-9442006-1-104 - AE0092470,Unclassified
TRANSFERDDR- 11200001772022000097045EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675610 Bulk 202-9441952-1-104 - AE0092412,Unclassified
SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 130437015 134926238 - S38917312,Card Credits
SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 860024026 134930811 - S38906975,Card Credits
TRANSFERDDR- 11200001712022000097047EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675612 Bulk 202-9442101-1-104 - AE0092638,Unclassified
TRANSFERDDR- 11200001782022000097051EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675615 Bulk 202-9442051-1-104 - AE0092602,Unclassified
TRANSFERDDR- 11200001742022000097046EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675613 Bulk 202-9442023-1-104 - AE0092563,Unclassified
TRANSFERDDR- 11200001712022000097050EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675614 Bulk 202-9442006-1-104 - AE0092470,Unclassified
TRANSFERDDR- 11200001772022000097045EIB0 16;OIC-112000017 OI C- EMIRATES ISLAMIC BANK PJSC DDS Pymt-1675610 Bulk 202-9441952-1-104 - AE0092412,Unclassified
VALUE ADDED TAXEPHCOP15401SDIOR 1110306234173998 DTB VAT NOQODI 25-87736647-1-151 - AE0321972,Unclassified
CHARGESEPHCOP15401SDIO R 1110306234173998 DTB BANK CHARGE S NOQODI 25- 87736647-1-151 - AE0321972,Unclassified
VALUE ADDED TAXEPHCOP15401SDIOR 1110306234173998 DTB VAT NOQODI 25-87736647-1-151 - AE0321972,Unclassified
VALUE ADDED TAXEPHCOP15401SDIOR 1110306234173998 DTB VAT NOQODI 25-87736647-1-151 - AE0321972,Unclassified
IPI TRANSFER-DTB TT REF EPHCOP15401SDIOR 1110306234173998 DW113270 UTL BEING PAID FOR VISA CHARGES NOQODI 25- 87736647-1-151 - AE0321972,Unclassified
CHARGESEPHCOP15401SDIO R 1110306234173998 DTB BANK CHARGE S NOQODI 25- 87736647-1-151 - AE0321972,Unclassified
CHARGESEPHCOP15401SDIO R 1110306234173998 DTB BANK CHARGE S NOQODI 25- 87736647-1-151 - AE0321972,Unclassified
SB-TRANSFERSB REF. 32075435 B/O NETWORK INTERNATIONAL LLC NI POS SETT 020623 130437015 134948185 - S40264007,Card Credits
VALUE ADDED TAXEPHCOP15401SDIOR 1110306234173998 DTB VAT NOQODI 25-87736647-1-151 - AE0321972,Unclassified
VALUE ADDED TAXEPHCOP15401SDIOR 1110306234173998 DTB VAT NOQODI 25-87736647-1-151 - AE0321972,Unclassified
IPI TRANSFER-DTB TT REF EPHCOP15401SDIOR 1110306234173998 DW113270 UTL BEING PAID FOR VISA CHARGES NOQODI 25- 87736647-1-151 - AE0321972,Unclassified
IPI TRANSFER-DTB TT REF EPHCOP15401SDIOR 1110306234173998 DW113270 UTL BEING PAID FOR VISA CHARGES NOQODI 25- 87736647-1-151 - AE0321972,Unclassified
VALUE ADDED TAXEPHCOP15401SDIOR 1110306234173998 DTB VAT NOQODI 25-87736647-1-151 - AE0321972,Unclassified
SDM DEPOSIT CRSDM REF.- E4011700231542591;AL MURAQQABAT BRANCH,Cash Deposited
VALUE ADDED TAXEPHCOP15401SDIOR 1110306234173998 DTB VAT NOQODI 25-87736647-1-151 - AE0321972,Bank Charges
CHARGESEPHCOP15401SDIO R 1110306234173998 DTB BANK CHARGE S NOQODI 25- 87736647-1-151 - AE0321972,Bank Charges
CHARGESEPHCOP15401SDIO R 1110306234173998 DTB BANK CHARGE S NOQODI 25- 87736647-1-151 - AE0321972,Bank Charges
SB-TRANSFERSB REF. 32075435 B/O NETWORK INTERNATIONAL LLC NI POS SETT 020623 130437015 134948185 - S40264007,Card Credits
SB-TRANSFERSB REF. 32075435 B/O NETWORK INTERNATIONAL LLC NI POS SETT 020623 130437015 134948185 - S40264007,Card Credits
CHARGESEPHCOP15401SDIO R 1110306234173998 DTB BANK CHARGE S NOQODI 25- 87736647-1-151 - AE0321972,Bank Charges
CHARGESEPHCOP15401SDIO R 1110306234173998 DTB BANK CHARGE S NOQODI 25- 87736647-1-151 - AE0321972,Bank Charges
IPI TRANSFER-DTB TT REF EPHCOP15401SDIOR 1110306234173998 DW113270 UTL BEING PAID FOR VISA CHARGES NOQODI 25- 87736647-1-151 - AE0321972,Unclassified
SDM DEPOSIT CRSDM REF.- E4011700231542591;AL MURAQQABAT BRANCH,Cash Deposited
IPI TRANSFER-DTB TT REF EPHCOP15401SDIOR 1110306234173998 DW113270 UTL BEING PAID FOR VISA CHARGES NOQODI 25- 87736647-1-151 - AE0321972,Unclassified
IPI TRANSFER-DTB TT REF EPHCOP15401SDIOR 1110306234173998 DW113270 UTL BEING PAID FOR VISA CHARGES NOQODI 25- 87736647-1-151 - AE0321972,Unclassified
SB-TRANSFERSB REF. 32075435 B/O NETWORK INTERNATIONAL LLC NI POS SETT 020623 130437015 134948185 - S40264007,Card Credits
IPI TRANSFER-DTB TT REF EPHCOP15401SDIOR 1110306234173998 DW113270 UTL BEING PAID FOR VISA CHARGES NOQODI 25- 87736647-1-151 - AE0321972,Unclassified
SDME4011700231542591 - AE0073853,Unclassified
VALUE ADDED TAXEPHCOP15401SDIOR 1110306234173998 DTB VAT NOQODI 25-87736647-1-151 - AE0321972,Bank Charges
SB-TRANSFERSB REF. 32075435 B/O NETWORK INTERNATIONAL LLC NI POS SETT 020623 130437015 134948185 - S40264007,Card Credits
SDM DEPOSIT CRSDM REF.- E4011700231542591;AL MURAQQABAT BRANCH,Cash Deposited
SDME4011700231542591 - AE0073853,Unclassified
VALUE ADDED TAXEPHCOP15401SDIOR 1110306234173998 DTB VAT NOQODI 25-87736647-1-151 - AE0321972,Bank Charges
VALUE ADDED TAXEPHCOP15401SDIOR 1110306234173998 DTB VAT NOQODI 25-87736647-1-151 - AE0321972,Bank Charges
SDM DEPOSIT CRSDM REF.- E4011700231542591;AL MURAQQABAT BRANCH,Cash Deposited
SB-TRANSFERSB REF. 32075435 B/O NETWORK INTERNATIONAL LLC NI POS SETT 020623 130437015 134948185 - S40264007,Card Credits
CHARGESEPHCOP15401SDIO R 1110306234173998 DTB BANK CHARGE S NOQODI 25- 87736647-1-151 - AE0321972,Unclassified
SB-TRANSFERSB REF. 32075435 B/O NETWORK INTERNATIONAL LLC NI POS SETT 020623 130437015 134948185 - S40264007,Card Credits
SDM DEPOSIT CRSDM REF.- E4011700231542591;AL MURAQQABAT BRANCH,Cash Deposited
SDME4011700231542591 - AE0073853,Unclassified
CHARGESEPHCOP15401SDIO R 1110306234173998 DTB BANK CHARGE S NOQODI 25- 87736647-1-151 - AE0321972,Bank Charges
SDME4011700231542591 - AE0073853,Unclassified
CHARGESEPHCOP15401SDIO R 1110306234173998 DTB BANK CHARGE S NOQODI 25- 87736647-1-151 - AE0321972,Bank Charges
SDM DEPOSIT CRSDM REF.- E4011700231542591;AL MURAQQABAT BRANCH,Cash Deposited
IPI TRANSFER-DTB TT REF EPHCOP15401SDIOR 1110306234173998 DW113270 UTL BEING PAID FOR VISA CHARGES NOQODI 25- 87736647-1-151 - AE0321972,Unclassified
SDME4011700231542591 - AE0073853,Unclassified
SDM DEPOSIT CRSDM REF.- E4011700231542591;AL MURAQQABAT BRANCH,Cash Deposited
IPI TRANSFER-DTB TT REF EPHCOP15401SDIOR 1110306234173998 DW113270 UTL BEING PAID FOR VISA CHARGES NOQODI 25- 87736647-1-151 - AE0321972,Unclassified
SDME4011700231542591 - AE0073853,Unclassified
VALUE ADDED TAXEPHCOP15401SDIOR 1110306234173998 DTB VAT NOQODI 25-87736647-1-151 - AE0321972,Bank Charges
SB-TRANSFERSB REF. 32075435 B/O NETWORK INTERNATIONAL LLC NI POS SETT 020623 130437015 134948185 - S40264007,Card Credits
IPI TRANSFER-DTB TT REF EPHCOP15401SDIOR 1110306234173998 DW113270 UTL BEING PAID FOR VISA CHARGES NOQODI 25- 87736647-1-151 - AE0321972,Unclassified
VALUE ADDED TAXEPHCOP15401SDIOR 1110306234173998 DTB VAT NOQODI 25-87736647-1-151 - AE0321972,Bank Charges
SDME4011700231542591 - AE0073853,Unclassified
SDM DEPOSIT CRSDM REF.- E4011700231542591;AL MURAQQABAT BRANCH,Cash Deposited
CHARGESEPHCOP15401SDIO R 1110306234173998 DTB BANK CHARGE S NOQODI 25- 87736647-1-151 - AE0321972,Bank Charges
SB-TRANSFERSB REF. 32075435 B/O NETWORK INTERNATIONAL LLC NI POS SETT 020623 130437015 134948185 - S40264007,Card Credits
SB-TRANSFERSB REF. 32075435 B/O NETWORK INTERNATIONAL LLC NI POS SETT 020623 130437015 134948185 - S40264007,Card Credits
CHARGESEPHCOP15401SDIO R 1110306234173998 DTB BANK CHARGE S NOQODI 25- 87736647-1-151 - AE0321972,Bank Charges
SDME4011700231542591 - AE0073853,Unclassified
SDM DEPOSIT CRSDM REF.- E4011700231542591;AL MURAQQABAT BRANCH,Cash Deposited
IPI TRANSFER-DTB TT REF EPHCOP15401SDIOR 1110306234173998 DW113270 UTL BEING PAID FOR VISA CHARGES NOQODI 25- 87736647-1-151 - AE0321972,Unclassified
SDM DEPOSIT CRSDM REF.- E4011700231542591;AL MURAQQABAT BRANCH,Cash Deposited
IPI TRANSFER-DTB TT REF EPHCOP15401SDIOR 1110306234173998 DW113270 UTL BEING PAID FOR VISA CHARGES NOQODI 25- 87736647-1-151 - AE0321972,Unclassified
SDME4011700231542591 - AE0073853,Unclassified
SDME4011700231542591 - AE0073853,Unclassified
SB-TRANSFERSB REF. 32075435 B/O NETWORK INTERNATIONAL LLC NI POS SETT 020623 130437015 134948185 - S40264007,Card Credits
SB-TRANSFERSB REF. 32075435 B/O NETWORK INTERNATIONAL LLC NI POS SETT 020623 130437015 134948185 - S40264007,Card Credits
SDM DEPOSIT CRSDM REF.- E4011700231542591;AL MURAQQABAT BRANCH,Cash Deposited
